site,variable,rcp,p1_mean,p1_var,p2_mean,p2_var,p3_mean,p3_var,p4_mean,p4_var
St. Anns Bank,SSS,2.6,-0.19,0.26,-0.37,0.29,-0.48,0.36,-0.54,0.4
St. Anns Bank,SSS,4.5,-0.16,0.27,-0.37,0.44,-0.58,0.42,-0.63,0.6
St. Anns Bank,SSS,7,-0.18,0.26,-0.35,0.33,-0.59,0.52,-0.81,0.68
St. Anns Bank,SSS,8.5,-0.24,0.29,-0.42,0.36,-0.72,0.51,-1.08,0.72
St. Anns Bank,BS,2.6,0.09,0.5,0.07,0.74,0.12,0.78,0.14,0.81
St. Anns Bank,BS,4.5,0.07,0.56,0.07,0.74,0.13,0.77,0.22,0.73
St. Anns Bank,BS,7,0.04,0.61,0.12,0.67,0.14,0.81,0.19,0.9
St. Anns Bank,BS,8.5,0.03,0.54,0.17,0.66,0.21,0.77,0.23,0.9
St. Anns Bank,MLD,2.6,-0.32,0.65,-0.33,1.23,-0.35,1.25,-0.24,1.53
St. Anns Bank,MLD,4.5,-0.2,0.8,-0.36,1.22,-0.49,1.56,-0.67,1.59
St. Anns Bank,MLD,7,-0.33,0.89,-0.57,1.2,-0.84,1.39,-1.24,1.62
St. Anns Bank,MLD,8.5,-0.24,0.78,-0.74,1.25,-1.15,1.58,-1.75,1.63
St. Anns Bank,Bspeed,2.6,-0.001,0.002,-0.002,0.003,-0.002,0.003,-0.002,0.003
St. Anns Bank,Bspeed,4.5,-0.001,0.002,-0.001,0.003,-0.001,0.002,-0.002,0.003
St. Anns Bank,Bspeed,7,-0.001,0.002,-0.001,0.002,-0.001,0.003,-0.002,0.003
St. Anns Bank,Bspeed,8.5,-0.001,0.002,-0.002,0.003,-0.002,0.003,-0.002,0.003
Basin Head,SST,2.6,1.22,0.51,1.82,0.69,2.01,0.87,2.1,0.92
Basin Head,SST,4.5,1.16,0.47,1.93,0.69,2.55,0.91,3.09,0.95
Basin Head,SST,7,1.12,0.55,1.98,0.77,3.03,0.9,4.22,1.15
Basin Head,SST,8.5,1.25,0.54,2.55,0.83,3.91,1.07,5.53,1.34
Basin Head,BT,2.6,1.26,0.51,1.84,0.94,2.02,1.07,2.16,1.2
Basin Head,BT,4.5,1.19,0.62,1.88,0.89,2.56,1.12,3.04,1.14
Basin Head,BT,7,1.15,0.62,1.85,0.77,2.85,0.97,3.85,1.25
Basin Head,BT,8.5,1.21,0.56,2.47,1.04,3.59,1.26,4.9,1.3
Basin Head,SSS,2.6,-0.28,0.4,-0.34,0.31,-0.52,0.43,-0.51,0.49
Basin Head,SSS,4.5,-0.14,0.4,-0.3,0.49,-0.62,0.55,-0.69,0.7
Basin Head,SSS,7,-0.2,0.42,-0.37,0.47,-0.56,0.6,-0.81,0.75
Basin Head,SSS,8.5,-0.27,0.44,-0.37,0.47,-0.74,0.57,-1.14,0.83
Basin Head,BS,2.6,-0.24,0.45,-0.36,0.64,-0.5,0.56,-0.49,0.42
Basin Head,BS,4.5,-0.18,0.4,-0.39,0.51,-0.6,0.62,-0.64,0.72
Basin Head,BS,7,-0.2,0.5,-0.36,0.52,-0.45,0.58,-0.71,0.86
Basin Head,BS,8.5,-0.25,0.46,-0.39,0.63,-0.71,0.8,-0.95,1.15
Basin Head,MLD,2.6,-0.07,0.38,-0.16,0.61,-0.12,0.71,0,0.82
Basin Head,MLD,4.5,-0.08,0.41,-0.06,0.65,-0.12,0.8,-0.22,0.87
